FE97B,[キャンディ]
FE97C,[キャンディ]
FE97D,[プリン]
FE97E,[ハチミツ]
FE97F,[エビフライ]
FE980,E66F
FE981,E670
FE982,E671
FE983,E672
FE984,E71E
FE985,E74B
FE986,E756
FE987,E672
FE988,E671
FEAF0,E678
FEAF1,E696
FEAF2,E697
FEAF3,E6A5
FEAF4,E6F5
FEAF5,E700
FEAF6,E73C
FEAF7,E73D
FEAF8,[↑]
FEAF9,[↓]
FEAFA,[→]
FEAFB,[←]
FEAFC,[>]
FEAFD,[<]
FEAFE,[>>]
FEAFF,[<<]
FEB00,▼
FEB01,▲
FEB02,▼
FEB03,▲
FEB04,E702
FEB05,E703
FEB06,E704
FEB07,E709
FEB08,E70A
FEB09,[？]
FEB0A,[？]
FEB0B,E702
FEB0C,E6EC
FEB0D,E6ED
FEB0E,E6EE
FEB0F,E6EF
FEB10,E6EC
FEB11,E6ED
FEB12,E6EC
FEB13,E6EC
FEB14,E6EC
FEB15,E6EC
FEB16,E6EC
FEB17,E6EC
FEB18,E6ED
FEB19,E6F8
FEB1A,E68D
FEB1B,E68E
FEB1C,E68F
FEB1D,E690
FEB1E,E67F
FEB1F,E680
FEB20,E69B
FEB21,E6D7
FEB22,E6DE
FEB23,E737
FEB24,[ココ]
FEB25,[18禁]
FEB26,E72F
FEB27,E70B
FEB28,E72F
FEB29,E731
FEB2A,E732
FEB2B,E734
FEB2C,E735
FEB2D,E736
FEB2E,E738
FEB2F,E739
FEB30,E73A
FEB31,E73B
FEB32,[VS]
FEB33,[♂]
FEB34,[♀]
FEB35,[赤ちゃん]
FEB36,E6DD
FEB37,[UP!]
FEB38,[COOL]
FEB39,[有]
FEB3A,[無]
FEB3B,[月]
FEB3C,[申]
FEB3D,[得]
FEB3E,[割]
FEB3F,[サービス]
FEB40,[指]
FEB41,[営]
FEB42,[TOP]
FEB43,[祝]
FEB44,E6A0
FEB45,[×]
FEB46,[×]
FEB47,[ｉ]
FEB48,E738
FEB49,[チェックマーク]
FEB4A,[チェックマーク]
FEB4B,[リンク]
FEB4F,[SOS]
FEB50,[可]
FEB51,[＋]
FEB52,[－]
FEB53,[×]
FEB54,[÷]
FEB55,E6F8
FEB56,E6FB
FEB57,E6FC
FEB58,E6FE
FEB59,E701
FEB5A,E705
FEB5B,E706
FEB5C,E707
FEB5D,E708
FEB5E,[力こぶ]
FEB5F,[クラクラ]
FEB60,E6FA
FEB61,E6F8
FEB62,E6F8
FEB63,E69C
FEB64,E69C
FEB65,E69C
FEB66,E69C
FEB67,E69C
FEB68,[☆]
FEB69,[☆]
FEB6A,☆彡
FEB6B,■
FEB6C,■
FEB6D,■
FEB6E,■
FEB6F,■
FEB70,■
FEB71,■
FEB72,■
FEB73,◆
FEB74,◆
FEB75,◆
FEB76,◆
FEB77,E6FA
FEB78,▲
FEB79,▼
FEB7A,[花丸]
FEB7B,[100点]
FEB7C,[ABCD]
FEB7D,[abcd]
FEB7E,[1234]
FEB7F,[記号]
FEB80,[ABC]
FEB81,E6D8
FEB82,E6D9
FEB83,E6DA
FEB84,E6DB
